Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,,AMD,Athlon II X2 B24,817,24.9,1243,https://cpu.userbenchmark.com/SpeedTest/6359/AMD-Athlontm-II-X2-B24-Processor
CPU,,AMD,Phenom II X2 545,818,24.8,779,https://cpu.userbenchmark.com/SpeedTest/8398/AMD-Phenomtm-II-X2-545-Processor
CPU,,AMD,Athlon II X2 250 (2013 D.Ri),819,24.8,13420,https://cpu.userbenchmark.com/SpeedTest/1064/AMD-Athlontm-II-X2-250-Processor
CPU,BX80562Q6600,Intel,Core2 Quad Q6600,820,24.8,46434,https://cpu.userbenchmark.com/Intel-Core2-Quad-Q6600/Rating/1980
CPU,,Intel,Core2 Quad,821,24.8,4201,https://cpu.userbenchmark.com/SpeedTest/374/IntelR-CoreTM2-Quad-CPU-------------240GHz
CPU,,AMD,Phenom 9500,822,24.7,1450,https://cpu.userbenchmark.com/SpeedTest/1692/AMD-Phenomtm-9500-Quad-Core-Processor
CPU,,Intel,Core i5-4300Y,823,24.7,568,https://cpu.userbenchmark.com/SpeedTest/8659/IntelR-CoreTM-i5-4300Y-CPU---160GHz
CPU,,Intel,Core2 Duo E8400,824,24.4,51308,https://cpu.userbenchmark.com/Intel-Core2-Duo-E8400/Rating/2720
CPU,,AMD,A8-3510MX APU,825,24.4,365,https://cpu.userbenchmark.com/SpeedTest/5873/AMD-A8-3510MX-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Pentium B960,826,24.4,7848,https://cpu.userbenchmark.com/SpeedTest/1038/IntelR-PentiumR-CPU-B960---220GHz
CPU,,Intel,Pentium E6600,827,24.3,2953,https://cpu.userbenchmark.com/SpeedTest/988/PentiumR-Dual-Core--CPU------E6600----306GHz
CPU,,Intel,Core2 Duo T9900,828,24.3,703,https://cpu.userbenchmark.com/SpeedTest/972/IntelR-CoreTM2-Duo-CPU-----T9900----306GHz
CPU,,AMD,Athlon II X2 245,829,24.2,4525,https://cpu.userbenchmark.com/SpeedTest/2018/AMD-Athlontm-II-X2-245-Processor
CPU,,AMD,Phenom II N950,830,24.2,192,https://cpu.userbenchmark.com/SpeedTest/213/AMD-Phenomtm-II-N950-Quad-Core-Processor
CPU,,Intel,Core i3-3227U,831,24.2,4361,https://cpu.userbenchmark.com/SpeedTest/5042/IntelR-CoreTM-i3-3227U-CPU---190GHz
CPU,,AMD,A9-9400 APU (2016 M.SR),832,24.2,1097,https://cpu.userbenchmark.com/SpeedTest/188753/AMD-A9-9400-RADEON-R5-5-COMPUTE-CORES-2C-3G
CPU,,AMD,Phenom II N660,833,24.1,298,https://cpu.userbenchmark.com/SpeedTest/9034/AMD-Phenomtm-II-N660-Dual-Core-Processor
CPU,,Intel,Core i3-4010U,834,24,7511,https://cpu.userbenchmark.com/SpeedTest/4821/IntelR-CoreTM-i3-4010U-CPU---170GHz
CPU,,Intel,Xeon E5345,835,24,226,https://cpu.userbenchmark.com/SpeedTest/10151/IntelR-XeonR-CPU-----------E5345----233GHz
CPU,,Intel,Core2 Duo T9800,836,23.9,408,https://cpu.userbenchmark.com/SpeedTest/7044/IntelR-CoreTM2-Duo-CPU-----T9800----293GHz
CPU,,AMD,A10-5745M APU,837,23.9,4291,https://cpu.userbenchmark.com/SpeedTest/4194/AMD-A10-5745M-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core i3 M 330,838,23.9,8577,https://cpu.userbenchmark.com/SpeedTest/484/IntelR-CoreTM-i3-CPU-------M-330----213GHz
CPU,,AMD,Athlon 64 X2 Dual Core 6000+,839,23.9,4340,https://cpu.userbenchmark.com/SpeedTest/5708/AMD-Athlontm-64-X2-Dual-Core-Processor-6000-
CPU,HE8067702740018,Intel,Pentium Gold 4415Y,840,23.8,1280,https://cpu.userbenchmark.com/SpeedTest/549016/IntelR-PentiumR-CPU-4415Y---160GHz
CPU,,Intel,Pentium E6500,841,23.7,3309,https://cpu.userbenchmark.com/SpeedTest/720/PentiumR-Dual-Core--CPU------E6500----293GHz
CPU,,Intel,Xeon E5405,842,23.6,500,https://cpu.userbenchmark.com/SpeedTest/25434/IntelR-XeonR-CPU-----------E5405----200GHz
CPU,,Intel,Core2 Duo E7500,843,23.6,25620,https://cpu.userbenchmark.com/SpeedTest/987/IntelR-CoreTM2-Duo-CPU-----E7500----293GHz
CPU,,Intel,Core i5-2467M,844,23.6,2767,https://cpu.userbenchmark.com/SpeedTest/854/IntelR-CoreTM-i5-2467M-CPU---160GHz
CPU,,Intel,Core i3-4005U,845,23.5,21519,https://cpu.userbenchmark.com/SpeedTest/7028/IntelR-CoreTM-i3-4005U-CPU---170GHz
CPU,,Intel,Pentium B950,846,23.5,4277,https://cpu.userbenchmark.com/SpeedTest/1968/IntelR-PentiumR-CPU-B950---210GHz
CPU,,AMD,A8-7410 APU (2015 M.Ca),847,23.5,17651,https://cpu.userbenchmark.com/SpeedTest/33754/AMD-A8-7410-APU-with-AMD-Radeon-R5-Graphics
CPU,,AMD,Athlon II X2 240,848,23.4,4663,https://cpu.userbenchmark.com/SpeedTest/4133/AMD-Athlontm-II-X2-240-Processor
CPU,,AMD,Athlon 7850,849,23.3,455,https://cpu.userbenchmark.com/SpeedTest/2660/AMD-Athlontm-7850-Dual-Core-Processor
CPU,,Intel,Pentium E5700,850,23.3,12133,https://cpu.userbenchmark.com/SpeedTest/976/PentiumR-Dual-Core--CPU------E5700----300GHz
CPU,,Intel,Core2 Quad Q9000,851,23.2,613,https://cpu.userbenchmark.com/SpeedTest/5898/IntelR-CoreTM2-Quad--CPU---Q9000----200GHz
CPU,,AMD,A6-3500 APU,852,23.2,1733,https://cpu.userbenchmark.com/SpeedTest/4150/AMD-A6-3500-APU-with-Radeontm-HD-Graphics
CPU,,Intel,Core2 Duo E8300,853,23.1,1050,https://cpu.userbenchmark.com/SpeedTest/1068/IntelR-CoreTM2-Duo-CPU-----E8300----283GHz
CPU,,Intel,Core i5-4210Y,854,22.9,439,https://cpu.userbenchmark.com/SpeedTest/6358/IntelR-CoreTM-i5-4210Y-CPU---150GHz
CPU,,AMD,Phenom 8650 Triple-Core,855,22.9,1013,https://cpu.userbenchmark.com/SpeedTest/4548/AMD-Phenomtm-8650-Triple-Core-Processor
CPU,,AMD,Athlon II X2 220,856,22.9,3396,https://cpu.userbenchmark.com/SpeedTest/5455/AMD-Athlontm-II-X2-220-Processor
CPU,,Intel,Celeron 1005M,857,22.9,1843,https://cpu.userbenchmark.com/SpeedTest/5234/IntelR-CeleronR-CPU-1005M---190GHz
CPU,,Intel,Core i3-3217U,858,22.9,17465,https://cpu.userbenchmark.com/SpeedTest/1643/IntelR-CoreTM-i3-3217U-CPU---180GHz
CPU,HE8067702740013,Intel,Pentium 4410Y,859,22.9,45,https://cpu.userbenchmark.com/SpeedTest/315867/IntelR-PentiumR-CPU-4410Y---150GHz
CPU,,AMD,Athlon X2 240,860,22.8,199,https://cpu.userbenchmark.com/SpeedTest/8553/AMD-Athlontm-X2-240-Processor
CPU,,AMD,Phenom II N930,861,22.8,378,https://cpu.userbenchmark.com/SpeedTest/6654/AMD-Phenomtm-II-N930-Quad-Core-Processor
CPU,,Intel,Core2 Duo P9700,862,22.7,340,https://cpu.userbenchmark.com/SpeedTest/3330/IntelR-CoreTM2-Duo-CPU-----P9700----280GHz
CPU,,Intel,Pentium B940,863,22.7,2183,https://cpu.userbenchmark.com/SpeedTest/2724/IntelR-PentiumR-CPU-B940---200GHz
